East_m,North_m,Species
221.7,90.92,DF
220.87,92.72,DF
215.76,99.48,WH
224.64,104.57,WH
229.13,98.29,DF
230.18,103.84,DF
229.83,107.7,WH
233.64,107.67,WH
236.43,106.49,WH
239.96,104.25,WH
231.83,84.86,WH
235.28,88.8,WH
238.8,83.76,DF
208.77,167.5,DF
235.69,174.64,WH
269.95,186.37,WH
269.54,187.67,WH
171.78,154.69,WH
183.5,158.16,SF
66.44,121.29,WH
41.84,83.52,WH
39.61,87.61,DF
31.83,86.97,DF
77.34,59.59,DF
46.72,78.62,SF
53.83,75.96,SF
49.87,75.77,WH
54.16,68.5,SF
58.8,63.69,DF
58.18,60.99,DF
51.44,49.96,DF
82.85,54.64,DF
41.94,75.9,DF
34.98,67.61,SF
43.84,55.22,SF
318.49,136.64,DF
316.53,132.98,WH
327.96,126.71,WH
313.54,119.29,WH
313.15,121.55,WH
309.65,132.62,WH
304.65,119.9,WH
288.91,127.41,WH
294.64,117.95,WH
293.66,116.53,DF
297.16,115.46,DF
301.02,115.97,DF
302.86,115.02,DF
303.75,111.34,WH
283.77,106.49,DF
274.19,110.78,WH
270.59,114.54,SF
267.01,118.11,SF
268.87,108.42,DF
270.98,96.05,SF
255.08,115.94,DF
249.62,105.72,DF
242.46,100.38,WH
246.03,99.99,DF
250.39,97.69,WH
245.16,93.98,DF
258.74,96.71,DF
245.4,85.79,WH
205.92,98.5,DF
199.89,82.64,WH
200.89,72.32,DF
191.67,70.82,WH
190.15,82.52,WH
194.73,88.4,WH
185.83,90.78,DF
183.14,92.61,DF
195.22,85.53,WH
181.67,83.69,WH
180.51,84.08,WH
177.02,85.14,WH
178.72,88.45,DF
161.13,83.77,SF
166.48,72.31,DF
156.56,76.73,DF
153.87,65.35,DF
157.3,69.29,WH
154.86,72.8,WH
140.37,80.09,WH
144.03,67.43,DF
147.98,57.07,DF
128.2,63.8,SF
123.21,74.32,WH
119.97,52.01,DF
125.78,52.3,WH
127.11,62.75,WH
117.7,62.54,WH
116.4,70.25,DF
105.95,57.54,DF
105.74,49.7,DF
112.64,48.25,WH
108.33,43.95,DF
109.43,42.59,DF
100.04,47.87,SF
90.53,38.86,SF
93.84,41.78,SF
84.36,40.04,DF
83.79,37.94,DF
70.72,38.07,SF
65.82,36.41,DF
62.81,37.33,SF
61.86,51.71,DF
62.46,53.82,SF
57.29,52.98,SF
52.28,45.07,DF
59.1,39.3,DF
47.78,40.59,SF
291.67,193.17,WH
316.41,210.11,WH
222.63,181.09,WH
201.51,177.4,SF
200.35,168.64,SF
195.89,176.07,SF
184.44,172.46,SF
128.18,155.07,WH
225.09,80.79,SF
224.51,85.24,WH
213.1,94.17,SF
213.75,91.72,SF
230.63,104.66,WH
235.4,93.66,WH
238.2,88.58,WH
239.21,87.72,WH
210.79,167.32,SF
246.56,178.89,SF
256.84,181.11,WH
274.89,188.91,WH
180.51,156.95,SF
182.21,158.33,SF
188.79,161.58,SF
148.59,146.63,SF
151.53,149.25,SF
153.57,150.56,SF
156.6,149.09,SF
118.52,139.8,SF
126.62,141.92,SF
73.02,122.01,SF
70.36,121.19,SF
54.69,85.57,SF
51.44,91.71,SF
49.21,93.44,SF
50.05,97.88,SF
44.37,101.16,SF
46.55,101.99,SF
43.08,103.57,SF
41.19,108.71,SF
42.64,110.09,WH
41.5,110.54,DF
38.58,110.58,SF
35.81,107.52,SF
35.84,106.31,SF
37.62,105.89,SF
38.88,107.35,SF
39.27,106.32,SF
40.52,107.54,SF
40.57,107.57,SF
38.63,105.51,SF
38.54,105.38,SF
37.33,104.64,SF
36.69,103.81,SF
40.33,107.28,SF
39.83,101.5,SF
44.22,92.92,SF
45.86,90.47,DF
38.52,95.96,SF
39.77,103.51,SF
35.26,100.64,SF
31.43,101.35,SF
30.54,101.59,SF
31.65,101.28,SF
32.09,96.81,WH
29.3,99.97,SF
28.59,102.2,DF
28.27,104.12,SF
29.43,105.3,SF
29.69,103.9,WH
28.53,102.97,WH
31.34,102.59,WH
22.25,103.93,WH
20.88,99.93,SF
25.07,97.98,SF
28.42,96.92,SF
28.49,95.57,SF
26.62,94.39,SF
27.03,93.28,SF
25.93,91.95,SF
24.59,92.65,SF
24.6,90.28,SF
28.72,92.71,SF
29.42,94.32,SF
29.68,93.85,SF
27.05,92.73,SF
25.86,92.61,SF
27.61,87.42,SF
31.42,91.98,SF
36.16,94.25,SF
41.29,81.12,SF
61.98,65.2,SF
55.25,80.36,SF
52.63,81.83,WH
62.19,56.43,SF
58.37,53.77,SF
50.66,54.28,SF
47.95,52.13,SF
51.06,59.16,SF
50.6,59.82,SF
54.57,62.49,SF
50.07,66.05,SF
47.09,66.11,SF
45.66,67.85,SF
44.13,68.57,SF
49.49,68.56,SF
43.54,78.06,SF
44.92,71.88,SF
34.7,71.85,SF
35.66,66.19,SF
