East_m,North_m,Species,DBH_cm
48.75,48.37,SF,10.3
321.07,172.8,SF,42.6
24.57,118.59,SF,15.3
61.14,103.99,SF,15.2
245.89,108.43,SF,29.3
62.48,113.3,WH,29.1
242.89,113.56,SF,10.2
165.44,106.04,WH,65.7
245.72,128.32,SF,51.7
112.37,61.07,DF,90.9
247.52,96.61,WH,13.8
289.31,101.13,SF,16.5
78.81,104.16,WH,51.9
323.64,220.49,DF,112.8
272.87,181.33,SF,17.9
69.9,148.3,SF,13.2
223.33,130.22,WH,13.5
252.72,211.77,WH,27.1
330.96,213.38,DF,62.5
187.89,128.82,WH,22
73.1,84.4,SF,19.1
252.55,89.81,SF,14.1
189.4,132.86,SF,66.6
31.02,99.69,WH,10.6
60.41,53.6,SF,15.4
319.64,229.48,DF,109.3
44.54,79.79,DF,66.2
332.06,215.88,WH,19.1
94.04,70.46,SF,14
353.54,136.34,DF,95.8
90.9,139.04,SF,11.3
18.3,134.01,DF,26.2
76.23,127.33,SF,30.5
282.13,120.14,SF,23.3
172.36,95.1,SF,12
161.09,102.52,DF,82.4
201.15,110.49,WH,28
35.74,106.96,SF,10.2
227.82,112.65,SF,12.8
220.19,195.24,WH,11
135.22,133.55,SF,24.7
257.41,172.91,WH,87.1
283.89,174.77,WH,14
43.21,139.64,SF,13.8
69.44,132.65,SF,13.6
190.87,99.43,WH,30.5
324.21,136.24,WH,67
101.62,136.56,SF,11.8
197.71,158.7,SF,24
102.02,87.06,DF,119.2
102.24,134.53,SF,20.4
112.44,133.73,SF,15.2
162.51,181.89,WH,18
111.11,60.7,SF,19.5
73.3,41.88,SF,20.1
126.95,141.1,WH,11.5
180,174.18,SF,15.9
81.53,147.38,SF,24.2
183.72,153.15,DF,89
258.64,206.54,WH,81.8
89.91,98.81,SF,19.7
247.91,190.1,WH,64.8
128.18,146.7,DF,115.4
134.81,146.78,SF,19.3
291.07,142.31,WH,31.4
88.78,62.22,WH,48.6
104.84,146.53,SF,10.7
247.98,118.21,WH,10.4
226.39,83.19,WH,20.2
119.71,111.8,SF,13.5
131.97,156.12,SF,14.7
152.18,128.06,SF,47.9
351.14,126.59,DF,129.6
137.9,145.85,SF,10
107.81,160.87,SF,33.5
94.61,72.77,WH,26
131.57,110.44,SF,30.9
316.81,195.57,WH,27.5
248.78,130.82,SF,13.9
74.95,82.89,SF,22.3
192.9,178.33,SF,15.9
148.5,179.64,SF,26.3
311.81,225.06,DF,79
156.7,159.24,WH,10.1
223.05,165.53,WH,26.5
272.69,101.37,SF,11.5
91.09,95.49,DF,112.2
42.01,90.85,SF,42.9
124.86,72.78,SF,14.1
30.14,93.88,SF,10.5
144.92,62.11,SF,15
133.8,57.41,WH,41.4
199.74,140.91,SF,51.1
128.48,104.55,SF,8.7
243.54,121.21,SF,18.3
263.08,150.58,SF,47
154.9,167.82,SF,35.3
278.13,215.05,WH,27.2
209.18,105.57,SF,16.1
20.66,120.16,DF,15
236.69,147.66,WH,54.2
201.95,197.26,WH,88.1
72.69,45.27,SF,19.1
299.04,131.57,WH,44.2
29.81,132.56,DF,18.1
249.89,106.98,SF,25
31.28,101,SF,21
112.94,163.01,WH,22.5
107.51,103.44,SF,13.5
28.58,118.46,DF,22.3
83.62,85.28,SF,20.1
86.83,72.5,SF,54.4
350.61,136.2,SF,12.6
213.95,191.55,WH,19.5
23.65,91.18,SF,12.2
47.06,80.94,WH,58.1
94.61,90.59,DF,112
73.72,122.72,SF,36.2
183.18,185.61,SF,15.8
210.93,106.85,WH,72.4
65.25,62.36,SF,33.5
